,actor_1_name,gross
687,Johnny Depp,3714788902.0
510,Harrison Ford,3391556163.0
1339,Tom Hanks,3264559076.0
1337,Tom Cruise,2987621999.0
555,J.K. Simmons,2856407143.0
1399,Will Smith,2762617667.0
244,Chris Hemsworth,2729132988.0
823,Leonardo DiCaprio,2640581774.0
1141,Robert Downey Jr.,2456990061.0
619,Jennifer Lawrence,2367856024.0
1151,Robin Williams,2296963991.0
1140,Robert De Niro,2100745158.0
1273,Steve Buscemi,2023386536.0
181,Bruce Willis,2010942570.0
354,Denzel Washington,1896762381.0
910,Matt Damon,1854630902.0
1144,Robert Pattinson,1841497127.0
992,Morgan Freeman,1780514534.0
530,Hugh Jackman,1713313608.0
832,Liam Neeson,1680050511.0
161,Bradley Cooper,1658315287.0
1005,Natalie Portman,1645479776.0
1208,Scarlett Johansson,1612164952.0
251,Christian Bale,1580306365.0
1021,Nicolas Cage,1482670876.0
386,Dwayne Johnson,1412783917.0
138,Bill Murray,1364065018.0
485,Gerard Butler,1318808117.0
219,Channing Tatum,1261312546.0
771,Kevin Spacey,1255364287.0
717,Julia Roberts,1252223284.0
1070,Paul Walker,1181617494.0
751,Keanu Reeves,1178922594.0
76,Angelina Jolie Pitt,1168666328.0
1181,Ryan Reynolds,1162374288.0
1274,Steve Carell,1161437836.0
9,Adam Sandler,1137069543.0
1396,Will Ferrell,1132984634.0
159,Brad Pitt,1127464628.0
596,Jason Statham,1111401945.0
423,Emma Stone,1062653907.0
65,Amy Poehler,1051102844.0
1091,Philip Seymour Hoffman,1024933295.0
1288,Sylvester Stallone,1023650665.0
309,Daniel Radcliffe,978707075.0
918,Matthew McConaughey,915345373.0
917,Matthew Broderick,888532384.0
189,CCH Pounder,859152693.0
523,Henry Cavill,846530799.0
1002,Naomi Watts,845711104.0
183,Bryce Dallas Howard,808719856.0
260,Christopher Lee,788008448.0
492,Glenn Morshower,785546728.0
89,Anthony Hopkins,780617919.0
605,Jeff Bridges,774934528.0
681,John Ratzenberger,760839216.0
1077,Peter Dinklage,749788005.0
1340,Tom Hardy,724395134.0
271,Clint Eastwood,721487233.0
641,Jim Broadbent,716794558.0
20,Al Pacino,708936941.0
948,Michael Gough,705336738.0
21,Alan Rickman,699415604.0
703,Joseph Gordon-Levitt,675997319.0
582,Jamie Lee Curtis,664397475.0
566,Jake Gyllenhaal,662482183.0
935,Meryl Streep,659117002.0
787,Kristen Stewart,655784694.0
