,director_name,actor_1_name,gross
1655,Joss Whedon,Chris Hemsworth,1705550693.0
2838,Sam Raimi,J.K. Simmons,1485313269.0
1046,Gore Verbinski,Johnny Depp,1250322569.0
1008,George Lucas,Natalie Portman,1165482815.0
3165,Tim Burton,Johnny Depp,1070125938.0
897,Francis Lawrence,Jennifer Lawrence,1043415508.0
3068,Steven Spielberg,Harrison Ford,936427645.0
499,Christopher Nolan,Christian Bale,791742578.0
1198,James Cameron,CCH Pounder,760505847.0
2037,Michael Bay,Glenn Morshower,754435468.0
229,Barry Sonnenfeld,Will Smith,733332680.0
1575,Jon Favreau,Scarlett Johansson,725290282.0
521,Clint Eastwood,Clint Eastwood,675387233.0
1201,James Cameron,Leonardo DiCaprio,658672302.0
2423,Peter Jackson,Christopher Lee,654316475.0
2426,Peter Jackson,Naomi Watts,654153780.0
534,Colin Trevorrow,Bryce Dallas Howard,652177271.0
1574,Jon Favreau,Robert Downey Jr.,630355613.0
3407,Zack Snyder,Henry Cavill,621270627.0
2479,Pierre Coffin,Steve Carell,619551280.0
2827,Sam Mendes,Albert Finney,608720554.0
2783,Ron Howard,Tom Hanks,592783296.0
265,Bill Condon,Robert Pattinson,584597846.0
447,Chris Columbus,Daniel Radcliffe,579528506.0
1007,George Lucas,Harrison Ford,575935665.0
2725,Robert Zemeckis,Tom Hanks,563987100.0
1980,Martin Scorsese,Leonardo DiCaprio,557497039.0
2333,Paul Greengrass,Matt Damon,546732530.0
2902,Shawn Levy,Robin Williams,541840715.0
3178,Tim Johnson,Jim Parsons,532031025.0
3206,Todd Phillips,Bradley Cooper,531769357.0
2422,Peter Jackson,Aidan Turner,513463724.0
2842,Sam Raimi,Tim Holmes,469806152.0
2634,Rob Cohen,Paul Walker,468544110.0
1616,Jonathan Liebesman,Noel Fisher,465294909.0
1913,Marc Webb,Emma Stone,464884596.0
450,Chris Columbus,Macaulay Culkin,459346759.0
748,Dennis Dugan,Steve Buscemi,459149506.0
502,Christopher Nolan,Tom Hardy,448130642.0
1295,Jay Roach,Robert De Niro,445392615.0
1491,John Lasseter,Tom Hanks,437619630.0
100,Andrew Adamson,Rupert Everett,436471036.0
3069,Steven Spielberg,Henry Thomas,434949459.0
2737,Roger Allers,Matthew Broderick,422783777.0
2722,Robert Zemeckis,Lea Thompson,416776391.0
1829,Lee Unkrich,Tom Hanks,414984497.0
3167,Tim Burton,Michael Gough,414020622.0
2893,Shane Black,Robert Downey Jr.,413228109.0
847,Eric Darnell,Jada Pinkett Smith,409503452.0
1280,Jason Reitman,J.K. Simmons,408953509.0
967,Gary Ross,Jennifer Lawrence,407999255.0
176,Anthony Russo,Robert Downey Jr.,407197282.0
1721,Kenneth Branagh,Hayley Atwell,402296318.0
443,Chris Buck,Josh Gad,400736600.0
1087,Guy Ritchie,Robert Downey Jr.,395850158.0
727,Dean DeBlois,Gerard Butler,394385104.0
411,Carlos Saldanha,Denis Leary,391903468.0
386,Bryan Singer,Jennifer Lawrence,388900073.0
423,Catherine Hardwicke,Kristen Stewart,382898950.0
120,Andrew Stanton,Alexander Gould,380838870.0
2427,Peter Jackson,Orlando Bloom,377019252.0
385,Bryan Singer,Hugh Jackman,372248497.0
2645,Rob Marshall,Johnny Depp,369061224.0
3079,Steven Spielberg,Tom Cruise,366291168.0
3080,Steven Spielberg,Tom Hanks,365457835.0
3180,Tim Miller,Ryan Reynolds,363024263.0
3162,Tim Burton,Cary-Hiroyuki Tagawa,360023480.0
3081,Steven Spielberg,Wayne Knight,356784000.0
2380,Pete Docter,Amy Poehler,356454367.0
496,Christopher McQuarrie,Tom Cruise,355068160.0
520,Clint Eastwood,Bradley Cooper,350123553.0
1246,James Wan,Jason Statham,350034110.0
1637,Joseph Kosinski,Jeff Bridges,344103574.0
689,David O. Russell,Jennifer Lawrence,338650199.0
1789,Kyle Balda,Steve Carell,336029560.0
