,director_name,gross
1492,Steven Spielberg,4114233101.0
1229,Peter Jackson,2289968050.0
1038,Michael Bay,2231242537.0
1536,Tim Burton,2071275480.0
1398,Sam Raimi,2049549198.0
620,James Cameron,1948125910.0
251,Christopher Nolan,1813227576.0
518,George Lucas,1741418480.0
839,Joss Whedon,1730886628.0
1350,Robert Zemeckis,1619309108.0
222,Chris Columbus,1618707624.0
790,Jon Favreau,1562381547.0
262,Clint Eastwood,1378321100.0
1368,Ron Howard,1362891801.0
463,Francis Lawrence,1358501971.0
1313,Ridley Scott,1337771688.0
538,Gore Verbinski,1329600995.0
1429,Shawn Levy,1177562263.0
1654,Zack Snyder,1149192852.0
1395,Sam Mendes,1137863626.0
52,Andrew Adamson,1137446920.0
185,Bryan Singer,1132739614.0
162,Brett Ratner,1061998151.0
1491,Steven Soderbergh,1050729636.0
760,John Lasseter,1035915953.0
958,M. Night Shyamalan,1029527628.0
660,Jay Roach,1013524555.0
1363,Roland Emmerich,952375462.0
1212,Pete Docter,939341341.0
110,Barry Sonnenfeld,926174214.0
1008,Martin Scorsese,914609800.0
1572,Tom Shadyac,890339768.0
1318,Rob Cohen,889081097.0
1589,Tony Scott,881953673.0
1555,Todd Phillips,881356030.0
333,David Fincher,863904524.0
376,Dennis Dugan,851981972.0
364,David Yates,842061364.0
1004,Martin Campbell,812561647.0
151,Brad Bird,793815162.0
638,James Wan,791976204.0
437,Eric Darnell,763481894.0
728,Joel Schumacher,758976101.0
490,Garry Marshall,755336386.0
607,J.J. Abrams,746817809.0
86,Anthony Russo,742882536.0
1249,Phil Lord,712690377.0
129,Bill Condon,707795035.0
8,Adam Shankman,697071855.0
910,Lana Wachowski,687238691.0
1541,Tim Johnson,687050365.0
1193,Paul Greengrass,686072860.0
1166,Oliver Stone,679792713.0
62,Andrew Stanton,677704438.0
874,Kenneth Branagh,675401735.0
945,Louis Leterrier,671514451.0
196,Carlos Saldanha,667057871.0
1268,Raja Gosnell,663162220.0
267,Colin Trevorrow,656185063.0
1290,Richard Donner,636416927.0
1240,Peter Segal,635719624.0
1644,Wolfgang Petersen,628379716.0
1263,Quentin Tarantino,624139594.0
108,Barry Levinson,623709246.0
812,Jonathan Liebesman,620577856.0
1256,Pierre Coffin,619551280.0
1321,Rob Marshall,616430006.0
766,John McTiernan,606153838.0
1343,Robert Rodriguez,590283751.0
1545,Tim Story,588701230.0
148,Bobby Farrelly,583581384.0
1192,Paul Feig,581501799.0
800,Jon Turteltaub,577335180.0
43,Alfonso Cuarón,572352439.0
644,Jan de Bont,567847589.0
462,Francis Ford Coppola,558860377.0
1121,Nancy Meyers,558599150.0
631,James Mangold,554390748.0
1104,Mike Newell,552092779.0
499,Gary Ross,548536667.0
71,Andy Tennant,547029178.0
1325,Rob Reiner,546997333.0
367,Dean DeBlois,540156631.0
602,Ivan Reitman,534858920.0
450,F. Gary Gray,530923809.0
1627,Wes Craven,529079795.0
72,Ang Lee,526804708.0
1506,Sydney Pollack,526218684.0
5,Adam McKay,524449691.0
1281,Renny Harlin,523975947.0
1216,Peter Berg,523040187.0
349,David O. Russell,520549751.0
1254,Phillip Noyce,519989056.0
402,Doug Liman,519041027.0
466,Frank Coraci,518767407.0
557,Guy Ritchie,511414538.0
968,Marc Forster,510122871.0
1356,Roger Allers,507087335.0
1275,Rawson Marshall Thurber,505105992.0
1102,Mike Mitchell,500950437.0
165,Brian De Palma,500840267.0
972,Marc Webb,497275970.0
1437,Simon West,497083761.0
785,John Woo,493401036.0
843,Judd Apatow,487323538.0
719,Joe Johnston,487027157.0
1027,McG,480290547.0
519,George Miller,479135651.0
203,Catherine Hardwicke,473777574.0
235,Chris Weitz,473200378.0
1344,Robert Schwentke,473065748.0
227,Chris Miller,469941412.0
87,Antoine Fuqua,465630234.0
1246,Peyton Reed,464908514.0
761,John Lee Hancock,459659902.0
113,Baz Luhrmann,442902351.0
127,Betty Thomas,433910970.0
825,Joseph Kosinski,433125309.0
653,Jason Reitman,425253811.0
422,Edward Zwick,420874084.0
1323,Rob Minkoff,417115267.0
924,Lee Unkrich,414984497.0
171,Brian Levant,414038962.0
779,John Singleton,413714434.0
1205,Paul W.S. Anderson,413432241.0
1424,Shane Black,413228109.0
569,Harold Ramis,412242374.0
234,Chris Wedge,412102714.0
1339,Robert Luketic,411972459.0
852,Justin Lin,406620795.0
1320,Rob Letterman,401151867.0
219,Chris Buck,400736600.0
445,Ethan Coen,397737757.0
1001,Mark Waters,394327585.0
1204,Paul Verhoeven,391436600.0
1464,Stephen Sommers,387425273.0
255,Chuck Russell,385675898.0
1244,Peter Weir,380889862.0
79,Anne Fletcher,377630465.0
1420,Seth Gordon,372119868.0
69,Andy Fickman,365433732.0
1058,Michael Mann,363735780.0
1543,Tim Miller,363024263.0
250,Christopher McQuarrie,361116016.0
796,Jon M. Chu,360590020.0
1366,Ron Clements,359844880.0
1539,Tim Hill,358921863.0
656,Jaume Collet-Serra,358426508.0
553,Guillermo del Toro,355843551.0
191,Cameron Crowe,355579415.0
930,Leonard Nimoy,353894092.0
472,Frank Oz,352261718.0
1597,Tyler Perry,348337748.0
598,Irvin Kershner,345658751.0
891,Kevin Reynolds,345154139.0
1421,Seth MacFarlane,342501865.0
627,James Gunn,341227583.0
359,David Slade,341100071.0
400,Donald Petrie,340782703.0
334,David Frankel,338624584.0
324,David Ayer,338528724.0
908,Kyle Balda,336029560.0
1207,Paul Weitz,334608827.0
1443,Spike Lee,328500427.0
1649,Yarrow Cheney,323505540.0
1003,Martin Brest,323440525.0
36,Alex Proyas,320915278.0
508,Genndy Tartakovsky,318005620.0
283,D.J. Caruso,316981707.0
814,Jonathan Mostow,316107826.0
739,John Carpenter,315333745.0
1406,Scott Derrickson,312380532.0
718,Joe Dante,312044641.0
689,Jerry Zucker,311838964.0
55,Andrew Davis,311800363.0
9,Adrian Lyne,311033012.0
365,David Zucker,310185660.0
1302,Richard Marquand,309125409.0
1645,Woody Allen,308345443.0
118,Ben Stiller,302800109.0
153,Brad Peyton,302569689.0
1019,Matt Reeves,300712517.0
750,John G. Avildsen,298835247.0
1138,Nicholas Stoller,296870265.0
805,Jonathan Demme,296843180.0
24,Alan Taylor,296092053.0
1472,Steve Carr,295095213.0
1037,Michael Apted,293799466.0
1477,Steve Martino,291492320.0
