actor_1_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Johnny Depp,9909.0,4759.0,98731.0,93326.0,1640000.0,3719618399.0,7865468,2169306,58.0,22893.0,3141600000.0,82152.0,359273.0,276.2,85.47,649963
Harrison Ford,4700.0,3440.0,60108.0,26671.0,297000.0,3391556163.0,6656667,432017,38.0,13611.0,1306377000.0,53810.0,72924.0,193.3,60.47,372651
Tom Hanks,5679.0,3144.0,83817.0,24789.0,360000.0,3264559076.0,7736413,467829,35.0,16266.0,1696000000.0,48048.0,54181.0,178.2,50.42,517000
Tom Cruise,5551.0,3202.0,73811.0,16757.0,250000.0,2987621999.0,5454219,341882,17.0,15972.0,1838800000.0,49978.0,47446.0,175.7,51.19,301168
J.K. Simmons,7364.0,3477.0,9044.0,70225.0,744000.0,2856407143.0,5114349,1108702,30.0,15623.0,1907300000.0,62212.0,244594.0,206.9,65.9,322214
Will Smith,4221.0,2253.0,15695.0,12359.0,190000.0,2762617667.0,4668784,259848,22.0,10703.0,2036100000.0,38100.0,32033.0,127.9,41.65,290000
Chris Hemsworth,6176.0,1891.0,18892.0,105991.0,390000.0,2729132988.0,5005296,778781,27.0,10535.0,1735000000.0,30189.0,181912.0,104.1,33.25,797694
Leonardo DiCaprio,6934.0,3108.0,156514.0,58117.0,609000.0,2640581774.0,9281136,874236,21.0,19204.0,1731500000.0,42115.0,183099.0,157.4,47.35,1096000
Robert Downey Jr.,6380.0,3012.0,33392.0,36521.0,546000.0,2456990061.0,4625831,753553,49.0,9973.0,1717000000.0,52148.0,126704.0,177.2,55.12,340954
Jennifer Lawrence,5877.0,1832.0,6087.0,94886.0,510000.0,2367856024.0,4080086,877052,34.0,8189.0,1182150000.0,30187.0,205901.0,105.7,33.18,765599
Robin Williams,3110.0,2884.0,19511.0,25949.0,1323000.0,2297193027.0,2932356,1508507,54.0,7315.0,1347600000.0,54058.0,121972.0,177.5,53.08,135433
Steve Buscemi,4026.0,2707.0,27421.0,48442.0,324000.0,2118443103.0,2788949,535739,35.0,6170.0,1471800000.0,54105.0,110612.0,173.5,51.85,155997
Robert De Niro,6651.0,5923.0,173452.0,59520.0,1078000.0,2100745158.0,6509213,1467249,95.0,14715.0,1637800000.0,97954.0,246276.0,330.6,100.11,331623
Bruce Willis,5077.0,3337.0,19950.0,19556.0,390000.0,2010942570.0,5692906,560937,58.0,12927.0,1682000000.0,60071.0,111208.0,197.3,64.5,290917
Denzel Washington,4548.0,3840.0,89510.0,32039.0,540000.0,1896762381.0,3778870,783847,29.0,8922.0,1454500000.0,60029.0,170056.0,212.5,65.0,215695
Matt Damon,7420.0,3640.0,38665.0,22832.0,390000.0,1859179002.0,4339667,498009,44.0,13010.0,1601950000.0,60177.0,65073.0,209.5,66.0,485652
Robert Pattinson,2297.0,1012.0,2088.0,57925.0,168000.0,1841497127.0,1726320,379937,16.0,5700.0,712000000.0,16076.0,101541.0,49.7,18.3,229000
Morgan Freeman,3989.0,2858.0,25469.0,22370.0,275000.0,1780514534.0,5039361,388129,36.0,12012.0,1286500000.0,50121.0,62315.0,168.8,55.25,418451
Hugh Jackman,5771.0,2393.0,6470.0,25337.0,420000.0,1713313608.0,3891068,553736,45.0,11445.0,1913000000.0,42199.0,86983.0,141.8,45.35,576000
Scarlett Johansson,6234.0,2485.0,43444.0,19651.0,418000.0,1702026268.0,3385177,614623,19.0,11987.0,1158500000.0,44171.0,150181.0,151.0,44.7,528736
