director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Steven Spielberg,6582.0,3571.0,364000.0,42799.0,287942.0,4114233101.0,8298294,441883,22.0,22073.0,1662900870.0,51913.0,81577.0,194.5,55.6,446000
Peter Jackson,4542.0,2048.0,0.0,5409.0,85746.0,2592969279.0,6278409,119964,15.0,23091.0,1692000000.0,24072.0,18080.0,92.1,28.2,393000
Michael Bay,3258.0,1897.0,0.0,12753.0,102193.0,2231242537.0,3327091,170358,12.0,11641.0,1587000000.0,26073.0,44307.0,86.3,30.05,259000
Tim Burton,4200.0,1759.0,208000.0,46100.0,328705.0,2071275480.0,3502256,527254,21.0,10789.0,1247000000.0,32022.0,119460.0,110.9,30.62,244000
Sam Raimi,3900.0,1513.0,0.0,40715.0,242158.0,2049549198.0,2760539,392156,10.0,11571.0,1430975000.0,26007.0,78078.0,89.8,27.07,158000
James Cameron,1878.0,1098.0,0.0,4303.0,38780.0,1948125910.0,3834613,69298,2.0,9064.0,748500000.0,13950.0,18479.0,55.4,14.88,103000
Christopher Nolan,4090.0,1122.0,176000.0,93698.0,150716.0,1813227576.0,8106282,418363,2.0,19399.0,1005000000.0,16057.0,109160.0,67.4,18.8,829000
George Lucas,1345.0,655.0,0.0,9929.0,82000.0,1741418480.0,2494008,153194,10.0,12107.0,354777000.0,9956.0,49000.0,37.0,11.18,56000
Joss Whedon,2317.0,606.0,0.0,57279.0,80000.0,1730886628.0,2696098,270247,10.0,6155.0,730000000.0,8044.0,63505.0,31.7,8.4,378000
Robert Zemeckis,2696.0,1583.0,0.0,15931.0,160000.0,1619309108.0,4056737,233840,7.0,7199.0,1070000000.0,25994.0,43491.0,95.0,26.9,257000
Chris Columbus,1567.0,1398.0,0.0,17183.0,167946.0,1618707624.0,1959941,241067,21.0,5355.0,677000000.0,22014.0,31305.0,73.2,23.85,87000
Jon Favreau,2048.0,755.0,28000.0,18055.0,123000.0,1562381547.0,1661359,234563,10.0,3336.0,793000000.0,14059.0,82585.0,49.9,13.95,179393
Clint Eastwood,4244.0,2608.0,320000.0,7011.0,282874.0,1378321100.0,3066098,362424,9.0,8033.0,773600000.0,40016.0,59200.0,144.5,46.0,267705
Ron Howard,2738.0,1699.0,26000.0,7061.0,145640.0,1362891801.0,2337242,184131,10.0,6349.0,992000000.0,26042.0,19176.0,90.1,27.55,145641
Francis Lawrence,1896.0,630.0,2540.0,30081.0,133000.0,1358501971.0,1595779,261263,4.0,3353.0,603000000.0,10060.0,70000.0,35.0,11.75,216000
Ridley Scott,4930.0,2419.0,0.0,10167.0,187713.0,1337771688.0,4683326,257084,17.0,13598.0,1430000000.0,34048.0,36630.0,120.2,39.45,492911
Gore Verbinski,1979.0,945.0,3941.0,13324.0,236000.0,1329600995.0,2324257,291141,7.0,6891.0,1071000000.0,14046.0,29442.0,48.9,15.95,91000
Shawn Levy,1980.0,1225.0,2268.0,14871.0,191368.0,1177562263.0,1284706,252646,43.0,2953.0,782800000.0,24093.0,27115.0,72.4,24.7,89792
Andrew Adamson,1032.0,574.0,400.0,383.0,24310.0,1149942785.0,1225271,25976,11.0,3364.0,615000000.0,10030.0,796.0,35.4,8.4,0
Zack Snyder,3514.0,1107.0,0.0,7011.0,60986.0,1149192852.0,2572138,112064,6.0,12048.0,884000000.0,16073.0,27398.0,57.4,18.8,418000
Sam Mendes,3306.0,1015.0,0.0,12507.0,90691.0,1137863626.0,2684913,123426,3.0,8900.0,862000000.0,16062.0,18202.0,60.0,18.8,274000
Bryan Singer,2717.0,1041.0,0.0,24387.0,154979.0,1132739614.0,2792382,250210,22.0,8024.0,1048000000.0,16055.0,48805.0,58.3,18.3,186000
M. Night Shyamalan,2604.0,925.0,0.0,5502.0,60142.0,1094596768.0,2000015,97431,1.0,12640.0,650000000.0,18057.0,22062.0,54.4,18.15,102000
Jay Roach,1332.0,789.0,928.0,4555.0,113383.0,1086504663.0,1208675,131570,15.0,3503.0,371000000.0,16023.0,4855.0,51.9,16.8,18913
Brett Ratner,1826.0,1034.0,4200.0,4886.0,85154.0,1061998151.0,1357351,124598,14.0,4533.0,936000000.0,20056.0,26782.0,64.1,23.5,43448
Steven Soderbergh,3934.0,1831.0,0.0,27265.0,151674.0,1050729636.0,2125920,251959,23.0,5926.0,643200000.0,32075.0,56466.0,107.3,31.91,157637
John Lasseter,1034.0,474.0,2435.0,4314.0,50000.0,1035915953.0,1585885,73913,3.0,2090.0,560000000.0,10009.0,4762.0,36.9,10.75,10000
Roland Emmerich,1970.0,1088.0,6208.0,4460.0,82788.0,952375462.0,1512955,109001,6.0,5334.0,868500000.0,16064.0,8878.0,49.5,18.8,167000
Pete Docter,1194.0,283.0,0.0,1419.0,14000.0,939341341.0,1596432,20592,2.0,2070.0,465000000.0,6025.0,2615.0,24.7,5.55,145000
Barry Sonnenfeld,1157.0,676.0,1316.0,4511.0,52848.0,926174214.0,1247876,77315,11.0,2345.0,733250000.0,13998.0,11450.0,45.2,12.95,47892
Martin Scorsese,4285.0,2888.0,340000.0,12900.0,340707.0,920287128.0,5507945,438108,17.0,11507.0,929600000.0,39877.0,65941.0,153.2,41.81,333932
Tom Shadyac,740.0,675.0,2051.0,10700.0,149899.0,890339768.0,1047805,213470,5.0,2063.0,477000000.0,13997.0,42051.0,44.2,14.45,2960
Rob Cohen,1744.0,1198.0,3927.0,15449.0,130727.0,889081097.0,1336400,224373,9.0,5305.0,655000000.0,22037.0,58576.0,63.6,24.85,71000
Tony Scott,1700.0,1408.0,144000.0,7706.0,147920.0,881953673.0,1581167,205840,19.0,3774.0,726000000.0,23974.0,32151.0,81.5,27.18,66000
Todd Phillips,1533.0,696.0,3360.0,3986.0,59851.0,881356030.0,1697125,79315,21.0,2424.0,299600000.0,14043.0,5269.0,46.6,15.95,105484
David Fincher,3511.0,1419.0,210000.0,4465.0,100864.0,863904524.0,5185902,142520,6.0,10046.0,650000000.0,20035.0,30835.0,77.5,23.5,421000
Dennis Dugan,1252.0,880.0,1989.0,18494.0,94240.0,851981972.0,1070795,178653,15.0,2401.0,510200000.0,18055.0,49299.0,51.6,16.65,45739
David Yates,1200.0,511.0,1128.0,10893.0,68000.0,842061364.0,761676,134536,10.0,2559.0,760000000.0,8048.0,42000.0,28.2,9.4,68000
Martin Campbell,2112.0,1174.0,2322.0,4857.0,56261.0,812561647.0,1717687,76375,10.0,6921.0,888000000.0,18034.0,5740.0,60.4,20.65,24951
Brad Bird,1638.0,579.0,3315.0,2824.0,28000.0,793815162.0,1574918,49837,6.0,2964.0,647000000.0,10036.0,12992.0,37.9,11.6,82000
James Wan,2451.0,809.0,0.0,17479.0,37560.0,791976204.0,1314628,105350,1.0,4572.0,277700000.0,14078.0,27391.0,50.4,15.95,360000
Joel Schumacher,1676.0,1497.0,7033.0,6776.0,102833.0,791198668.0,1325223,162476,27.0,6427.0,593000000.0,25975.0,40433.0,83.3,29.05,30792
Eric Darnell,843.0,443.0,175.0,1984.0,34702.0,763481894.0,716739,53257,0.0,1065.0,607000000.0,10037.0,13468.0,33.8,9.25,28000
Garry Marshall,937.0,935.0,0.0,15909.0,75622.0,755336386.0,648931,128175,39.0,1555.0,339000000.0,16026.0,20461.0,47.6,15.8,42399
J.J. Abrams,1957.0,495.0,56000.0,3305.0,68000.0,746817809.0,1444509,98900,0.0,4450.0,540000000.0,8039.0,23541.0,29.8,9.4,148000
Anthony Russo,1300.0,479.0,376.0,13386.0,40970.0,742882536.0,850395,103206,2.0,2049.0,486000000.0,8038.0,30779.0,28.0,8.9,127423
Phil Lord,1331.0,411.0,388.0,3479.0,45622.0,712690377.0,1065787,62751,5.0,1294.0,252000000.0,8049.0,10417.0,29.1,9.4,127000
Bill Condon,1424.0,711.0,2316.0,25788.0,78912.0,707795035.0,523637,179275,9.0,1699.0,352500000.0,12045.0,52807.0,38.3,14.1,141000
Adam Shankman,1234.0,850.0,1304.0,5265.0,50796.0,697071855.0,596135,74922,27.0,2653.0,425000000.0,16043.0,8181.0,47.7,18.8,53581
Lana Wachowski,1621.0,774.0,0.0,13575.0,39233.0,687238691.0,2243122,72063,4.0,9898.0,663500000.0,12024.0,16160.0,41.5,13.6,71000
Tim Johnson,661.0,365.0,48.0,1474.0,64000.0,687050365.0,337735,76462,1.0,892.0,485000000.0,8051.0,8569.0,26.9,7.4,78000
Paul Greengrass,1963.0,813.0,3647.0,1702.0,67870.0,686072860.0,1416255,76613,2.0,3659.0,477000000.0,14058.0,3296.0,53.1,15.95,96000
Oliver Stone,2223.0,2078.0,0.0,6685.0,107206.0,679792713.0,1251135,152904,19.0,5116.0,584600000.0,27952.0,24827.0,97.3,30.4,56731
Andrew Stanton,1184.0,330.0,1425.0,1851.0,2640.0,677704438.0,1623523,10489,1.0,2647.0,537700000.0,6023.0,2300.0,23.2,6.55,51000
Kenneth Branagh,1810.0,1113.0,0.0,14818.0,50329.0,675401735.0,965707,113112,8.0,2412.0,480000000.0,18035.0,41140.0,64.5,19.85,192359
Louis Leterrier,1937.0,754.0,1785.0,9802.0,105000.0,671514451.0,1712344,134134,8.0,3649.0,573000000.0,14053.0,10988.0,45.8,16.45,135000
Carlos Saldanha,751.0,406.0,428.0,764.0,13358.0,667057871.0,584871,16175,0.0,670.0,363000000.0,8040.0,1643.0,27.3,8.4,19000
Raja Gosnell,729.0,577.0,402.0,1945.0,11890.0,663162220.0,283224,22280,11.0,1129.0,429000000.0,12038.0,5261.0,29.5,11.53,32567
Colin Trevorrow,915.0,210.0,730.0,1522.0,3934.0,656185063.0,519501,11172,0.0,1550.0,150750000.0,4027.0,2830.0,14.0,4.35,181000
Richard Donner,1299.0,1471.0,6036.0,4774.0,122336.0,636416927.0,954092,173045,17.0,2963.0,579600000.0,23886.0,35978.0,81.9,27.2,25892
Peter Segal,921.0,728.0,616.0,14265.0,61568.0,635719624.0,739344,119666,24.0,1594.0,393500000.0,14020.0,27736.0,43.3,13.95,25132
Wolfgang Petersen,1083.0,1062.0,1743.0,4040.0,128669.0,628379716.0,1102198,169099,7.0,4335.0,651000000.0,13967.0,28971.0,48.0,15.45,32000
Bobby Farrelly,1442.0,1083.0,1010.0,5236.0,46244.0,627909622.0,938078,71460,13.0,2805.0,367000000.0,20041.0,6859.0,61.3,21.0,83000
Quentin Tarantino,3033.0,1184.0,128000.0,15454.0,140816.0,624139594.0,5590660,204646,9.0,10366.0,300200000.0,16026.0,38179.0,65.6,18.71,432000
